Kanun Teklifi Sayısı;Genel Görüşme Önergesi Sayısı;İsim;Parti;Soru Önergesi Sayısı;Araştırma Önergesi Sayısı;Genel Kurul Konuşma Sayısı
1;0;Vahit KİLER;AK Parti;0;1;7
33;0;Yavuz ERGUN;AK Parti;0;4;6
26;0;Osman ÖREN;AK Parti;0;4;6
9;1;Muhammet Naci CİNİSLİ;İYİ Parti;114;324;95
15;0;Gülay SAMANCI;AK Parti;0;5;6
14;0;Şeyhmus DİNÇEL;AK Parti;0;2;6
11;0;Fehmi KÜPÇÜ;AK Parti;0;2;6
10;0;Hasan TURAN;AK Parti;0;1;6
0;0;Kamil AYDIN;MHP;0;24;36
6;0;Osman MESTEN;AK Parti;0;2;6
1;0;Nurettin CANİKLİ;AK Parti;0;1;6
3;1;Orhan ÇAKIRLAR;İYİ Parti;55;242;14
27;0;Cengiz DEMİRKAYA;AK Parti;0;3;5
15;11;Mahir POLAT;CHP;535;500;29
13;0;Gürsel EROL;CHP;23;33;29
15;0;Ümit YILMAZ;MHP;48;196;122
0;0;Salihe AYDENİZ;DBP;36;138;14
23;0;Ahmet AKAY;AK Parti;0;5;5
8;1;Semra GÜZEL;HDP;265;455;77
1;2;Remziye TOSUN;HDP;177;375;11
20;0;Meliha AKYOL;AK Parti;0;7;5
17;0;Yusuf Ziya YILMAZ;AK Parti;0;5;5
1;0;Hişyar ÖZSOY;HDP;69;321;55
1;0;İmam TAŞÇIER;HDP;16;378;14
4;0;Dersim DAĞ;HDP;117;495;21
17;0;Ahmet ÇAKIR;AK Parti;0;8;5
10;0;Garo PAYLAN;HDP;138;536;138
15;0;Serkan BAYRAM;AK Parti;0;5;5
9;3;Haşim Teoman SANCAR;BAĞIMSIZ;8;198;30
15;0;Adil ÇELİK;AK Parti;0;9;5
13;0;Şenel YEDİYILDIZ;AK Parti;0;4;5
18;4;Sevda ERDAN KILIÇ;CHP;182;534;27
22;1;Yasin ÖZTÜRK;İYİ Parti;507;409;160
13;0;Mustafa KENDİRLİ;AK Parti;0;2;5
13;0;Selman Oğuzhan ESER;AK Parti;0;6;5
12;1;Lale KARABIYIK;CHP;29;133;26
11;0;Canan KALSIN;AK Parti;0;5;5
10;0;Rıza POSACI;AK Parti;0;1;5
8;0;Çiğdem KARAASLAN;AK Parti;0;3;5
13;2;Gamze AKKUŞ İLGEZDİ;CHP;120;430;24
19;2;Candan YÜCEER;CHP;101;1053;24
8;0;Abdullah AĞRALI;AK Parti;0;6;5
4;0;Numan KURTULMUŞ;AK Parti;0;0;5
3;0;Fetani BATTAL;AK Parti;0;2;5
2;0;Volkan BOZKIR;AK Parti;0;0;5
32;0;Zülfü DEMİRBAĞ;AK Parti;0;4;4
23;0;Feyzi BERDİBEK;AK Parti;0;4;4
13;5;Kadim DURMAZ;CHP;71;1476;24
20;0;Mustafa Hidayet VAHAPOĞLU;MHP;15;79;28
21;0;Fatih Süleyman DENİZOLGUN;AK Parti;0;1;4
0;0;İsmet BÜYÜKATAMAN;MHP;0;4;1
3;5;Mustafa TUNCER;CHP;9;120;24
